T001 | Profundidade e Sem Preservação
T002 | Profundidade e Preservando Maior Isovista
T003 | Profundidade e Preservando Profundidade
T004 | Ruas Vistas e Sem Preservação
T005 | Ruas Vistas e Preservando Maior Isovista
T006 | Ruas Vistas e Preservando Profundidade
T007 | Ruas Vistas, Profundidade e Sem Preservação
T008 | Ruas Vistas, Profundidade e Preservando Maior Isovista
T009 | Ruas Vistas, Profundidade e Preservando Profundidade
T010 | Prédios Vistos e Sem Preservação
T011 | Prédios Vistos e Preservando Maior Isovista
T012 | Prédios Vistos e Preservando Profundidade
T013 | Prédios Vistos, Profundidade e Sem Preservação
T014 | Prédios Vistos, Profundidade e Preservando Maior Isovista
T015 | Prédios Vistos, Profundidade e Preservando Profundidade
T016 | Prédios Vistos, Ruas Vistas e Sem Preservação
T017 | Prédios Vistos, Ruas Vistas e Preservando Maior Isovista
T018 | Prédios Vistos, Ruas Vistas e Preservando Profundidade
T019 | Prédios Vistos, Ruas Vistas, Profundidade e Sem Preservação
T020 | Prédios Vistos, Ruas Vistas, Profundidade e Preservando Maior Isovista
T021 | Prédios Vistos, Ruas Vistas, Profundidade e Preservando Profundidade
T022 | Objetos Vistos e Sem Preservação
T023 | Objetos Vistos e Preservando Maior Isovista
T024 | Objetos Vistos e Preservando Profundidade
T025 | Objetos Vistos, Profundidade e Sem Preservação
T026 | Objetos Vistos, Profundidade e Preservando Maior Isovista
T027 | Objetos Vistos, Profundidade e Preservando Profundidade
T028 | Objetos Vistos, Ruas Vistas e Sem Preservação
T029 | Objetos Vistos, Ruas Vistas e Preservando Maior Isovista
T030 | Objetos Vistos, Ruas Vistas e Preservando Profundidade
T031 | Objetos Vistos, Ruas Vistas, Profundidade e Sem Preservação
T032 | Objetos Vistos, Ruas Vistas, Profundidade e Preservando Maior Isovista
T033 | Objetos Vistos, Ruas Vistas, Profundidade e Preservando Profundidade
T034 | Objetos Vistos, Prédios Vistos e Sem Preservação
T035 | Objetos Vistos, Prédios Vistos e Preservando Maior Isovista
T036 | Objetos Vistos, Prédios Vistos e Preservando Profundidade
T037 | Objetos Vistos, Prédios Vistos, Profundidade e Sem Preservação
T038 | Objetos Vistos, Prédios Vistos, Profundidade e Preservando Maior Isovista
T039 | Objetos Vistos, Prédios Vistos, Profundidade e Preservando Profundidade
T040 | Objetos Vistos, Prédios Vistos, Ruas Vistas e Sem Preservação
T041 | Objetos Vistos, Prédios Vistos, Ruas Vistas e Preservando Maior Isovista
T042 | Objetos Vistos, Prédios Vistos, Ruas Vistas e Preservando Profundidade
T043 | Objetos Vistos, Prédios Vistos, Ruas Vistas, Profundidade e Sem Preservação
T044 | Objetos Vistos, Prédios Vistos, Ruas Vistas, Profundidade e Preservando Maior Isovista
T045 | Objetos Vistos, Prédios Vistos, Ruas Vistas, Profundidade e Preservando Profundidade
T046 | Área Vista e Sem Preservação
T047 | Área Vista e Preservando Maior Isovista
T048 | Área Vista e Preservando Profundidade
T049 | Área Vista, Profundidade e Sem Preservação
T050 | Área Vista, Profundidade e Preservando Maior Isovista
T051 | Área Vista, Profundidade e Preservando Profundidade
T052 | Área Vista, Ruas Vistas e Sem Preservação
T053 | Área Vista, Ruas Vistas e Preservando Maior Isovista
T054 | Área Vista, Ruas Vistas e Preservando Profundidade
T055 | Área Vista, Ruas Vistas, Profundidade e Sem Preservação
T056 | Área Vista, Ruas Vistas, Profundidade e Preservando Maior Isovista
